time, block_id, block_x, block_y, block_width, block_height
2021-07-21 13:45:54.432810, 1, 168, 123, 132, 101
2021-07-21 13:45:54.452993, 1, 171, 118, 150, 127
2021-07-21 13:45:54.465498, 1, 182, 117, 184, 131
2021-07-21 13:45:54.486864, 1, 188,  94, 200, 185
2021-07-21 13:45:54.506886, 1, 191,  95, 222, 190
2021-07-21 13:45:54.516242, 1, 188,  97, 224, 194
2021-07-21 13:45:54.536898, 1, 188,  98, 236, 197
2021-07-21 13:45:54.555636, 1, 187, 100, 242, 200
2021-07-21 13:45:54.562737, 1, 186, 102, 248, 204
2021-07-21 13:45:54.578937, 1, 185, 103, 254, 206
2021-07-21 13:45:54.606340, 1, 183, 103, 258, 206
2021-07-21 13:45:54.616380, 1, 181, 103, 262, 207
2021-07-21 13:45:54.637118, 1, 181, 103, 270, 206
2021-07-21 13:45:54.664745, 1, 175, 103, 278, 207
2021-07-21 13:45:54.678461, 1, 174, 103, 284, 206
2021-07-21 13:45:54.696366, 1, 171, 103, 290, 207
2021-07-21 13:45:54.716881, 1, 168, 103, 296, 207
2021-07-21 13:45:54.728314, 1, 164, 103, 304, 207
2021-07-21 13:45:54.746889, 1, 162, 103, 308, 207
2021-07-21 13:45:54.766901, 1, 159, 103, 314, 207
2021-07-21 13:45:54.778460, 1, 159, 103, 314, 207
2021-07-21 13:45:54.796860, 1, 159, 103, 314, 207
2021-07-21 13:45:54.808390, 1, 159, 103, 314, 207
2021-07-21 13:45:54.827083, 1, 158, 103, 316, 207
2021-07-21 13:45:54.838839, 1, 159, 103, 314, 207
2021-07-21 13:45:54.857163, 1, 159, 103, 314, 207
2021-07-21 13:45:54.887627, 1, 158, 103, 316, 207
2021-07-21 13:45:54.907033, 1, 158, 103, 316, 207
2021-07-21 13:45:54.934955, 1, 159, 103, 314, 207
2021-07-21 13:45:54.939056, 1, 159, 103, 314, 207
2021-07-21 13:45:54.956634, 1, 158, 103, 316, 207
2021-07-21 13:45:54.970791, 1, 159, 103, 314, 207
2021-07-21 13:45:54.987017, 1, 159, 103, 314, 207
2021-07-21 13:45:55.001217, 1, 159, 103, 314, 207
2021-07-21 13:45:55.026989, 1, 159, 103, 314, 207
2021-07-21 13:45:55.038345, 1, 159, 103, 314, 207
2021-07-21 13:45:55.086906, 1, 159, 103, 314, 207
2021-07-21 13:45:55.098657, 1, 158, 103, 312, 207
2021-07-21 13:45:55.122354, 1, 156, 103, 308, 206
2021-07-21 13:45:55.136873, 1, 156, 103, 304, 207
2021-07-21 13:45:55.149377, 1, 156, 103, 300, 207
2021-07-21 13:45:55.166914, 1, 157, 103, 294, 207
2021-07-21 13:45:55.179958, 1, 157, 103, 286, 207
2021-07-21 13:45:55.198134, 1, 158, 103, 280, 207
2021-07-21 13:45:55.216890, 1, 159, 103, 278, 207
2021-07-21 13:45:55.236889, 1, 159, 103, 270, 206
2021-07-21 13:45:55.248121, 1, 160, 103, 264, 206
2021-07-21 13:45:55.266901, 1, 163, 103, 262, 207
